Loading dataset...
Initializing model...
Starting training...
trainable params: 5,898,240 || all params: 4,028,366,336 || trainable%: 0.1464
총 300개의 JSON 파일을 로드합니다.
총 300개의 JSON 파일이 성공적으로 로드되었습니다.
총 학습 스텝 수: 15000
[E1] step 1860 loss 0.3791
[E1] step 1870 loss 0.5568
[E1] step 1880 loss 0.4125
[E1] step 1890 loss 1.0935
[E1] step 1900 loss 2.4994
[E1] step 1910 loss 1.1572
[E1] step 1920 loss 0.3492
[E1] step 1930 loss 0.1707
[E1] step 1940 loss 1.0762
[E1] step 1950 loss 0.3958
[E1] step 1960 loss 0.3368
[E1] step 1970 loss 0.1693
[E1] step 1980 loss 0.9213
[E1] step 1990 loss 0.3719
[E1] step 2000 loss 2.0308
[E1] step 2010 loss 0.0128
[E1] step 2020 loss 0.5589
[E1] step 2030 loss 1.6093
[E1] step 2040 loss 5.5477
[E1] step 2050 loss 0.3645
[E1] step 2060 loss 1.7525
[E1] step 2070 loss 0.5316
[E1] step 2080 loss 2.9816
[E1] step 2090 loss 0.6720
[E1] step 2100 loss 1.3013
[E1] step 2110 loss 1.2827
[E1] step 2120 loss 0.8203
[E1] step 2130 loss 0.6649
[E1] step 2140 loss 1.3766
[E1] step 2150 loss 0.2604
[E1] step 2160 loss 0.3972
[E1] step 2170 loss 0.8878
[E1] step 2180 loss 2.4340
[E1] step 2190 loss 7.1774
[E1] step 2200 loss 0.9302
[E1] step 2210 loss 2.7418
[E1] step 2220 loss 0.4678
[E1] step 2230 loss 0.1346
[E1] step 2240 loss 1.7730
[E1] step 2250 loss 0.9191
[E1] step 2260 loss 0.8617
[E1] step 2270 loss 0.6648
[E1] step 2280 loss 0.1355
[E1] step 2290 loss 0.4527
[E1] step 2300 loss 0.1110
[E1] step 2310 loss 0.2116
[E1] step 2320 loss 0.4061
[E1] step 2330 loss 0.7579
[E1] step 2340 loss 0.4553
[E1] step 2350 loss 0.3707
[E1] step 2360 loss 0.3659
[E1] step 2370 loss 1.0500
[E1] step 2380 loss 0.8444
[E1] step 2390 loss 0.1896
[E1] step 2400 loss 0.6960
[E1] step 2410 loss 4.2830
[E1] step 2420 loss 2.3268
[E1] step 2430 loss 0.2380
[E1] step 2440 loss 0.5928
[E1] step 2450 loss 3.2223
